Year,County,SiteName,Enrollment,PBE,PME
2017-2018,Deschutes,WESTSIDE VILLAGE MAGNET SCHOOL,256,64,2
2017-2018,Douglas,Aunties Hometown Childcare & Learning Center LLC,Site has fewer than 10 children in the adjusted enrollment.  No numbers are displayed.,,
2017-2018,Douglas,Brockway Elementary School,343,16,0
2017-2018,Douglas,Camas Valley Charter School,211,15,1
2017-2018,Douglas,Canyonville Adventist Elementary School,15,6,0
2017-2018,Douglas,Canyonville Christian Academy,106,4,0
2017-2018,Douglas,Canyonville School,219,12,0
2017-2018,Douglas,Cobb School,72,6,0
2017-2018,Douglas,Coffenberry Middle School,311,14,0
2017-2018,Douglas,Days Creek Charter School,195,15,0
2017-2018,Douglas,Deer Creek Adolescent Treatment Center,10,0,0
2017-2018,Douglas,Dillard Alternative School,31,2,0
2017-2018,Douglas,"Douglas County Juvenile Center - Mt Nebo, River Ro",45,0,0
2017-2018,Douglas,Douglas High School,396,11,0
2017-2018,Douglas,East Primary School,405,28,0
2017-2018,Douglas,Eastwood Elementary School,425,13,0
2017-2018,Douglas,Elkton Grade School,168,16,0
2017-2018,Douglas,Elkton High School,84,2,0
2017-2018,Douglas,Fir Grove Elementary School,320,14,1
2017-2018,Douglas,Fullerton IV Elementary School,353,23,1
2017-2018,Douglas,Geneva Academy,133,20,0
2017-2018,Douglas,Glendale Elementary/Junior High School,176,12,0
2017-2018,Douglas,Glendale Senior High School,91,9,0
2017-2018,Douglas,Glide Elementary School,409,10,0
2017-2018,Douglas,Glide High School,211,9,0
2017-2018,Douglas,Glide Middle School,103,5,0
2017-2018,Douglas,Green Elementary School,255,4,0
2017-2018,Douglas,Highland Elementary School,357,30,0
2017-2018,Douglas,Hucrest Elementary,438,34,1
2017-2018,Douglas,John C Fremont Middle School,704,43,0
2017-2018,Douglas,Joseph Lane Middle School,619,33,0
2017-2018,Douglas,Lincoln Middle School,204,16,0
2017-2018,Douglas,Little Folks Christian Preschool Kindergarten,Site has fewer than 10 children in the adjusted enrollment.  No numbers are displayed.,,
2017-2018,Douglas,Little Folks Christian School,Site has fewer than 10 children in the adjusted enrollment.  No numbers are displayed.,,
2017-2018,Douglas,Lookingglass Elementary School,178,9,0
2017-2018,Douglas,McGovern Elementary School,238,5,0
2017-2018,Douglas,Melrose Christian School,11,5,0
2017-2018,Douglas,Melrose Elementary School,346,32,0
2017-2018,Douglas,Milo Adventist Academy,103,11,0
2017-2018,Douglas,Myrtle Creek Elementary School,330,27,0
2017-2018,Douglas,North Douglas Elementary/Middle School,257,14,0
2017-2018,Douglas,North Douglas High School,81,5,0
2017-2018,Douglas,Oakland Elementary School,204,17,0
2017-2018,Douglas,Oakland High School,201,6,0
2017-2018,Douglas,Phoenix Charter School,173,4,0
2017-2018,Douglas,Reedsport Community Charter School,333,18,0
2017-2018,Douglas,Riddle Elementary School,235,13,0
2017-2018,Douglas,Riddle Jr/Sr High School,157,7,1
2017-2018,Douglas,Rose School,30,1,0
2017-2018,Douglas,Roseburg High School,"1,465",67,2
2017-2018,Douglas,Roseburg Junior Academy,24,0,0
2017-2018,Douglas,South Umpqua High School,367,9,0
2017-2018,Douglas,St. Paul's Lutheran School,43,6,0
2017-2018,Douglas,Sunnyslope Elementary,267,7,0
2017-2018,Douglas,Sutherlin Adventist Christian School,Site has fewer than 10 children in the adjusted enrollment.  No numbers are displayed.,,
2017-2018,Douglas,Sutherlin High School,360,7,0
2017-2018,Douglas,Sutherlin Middle School,207,4,2
2017-2018,Douglas,Sutherlin Valley Online Academy,43,1,0
2017-2018,Douglas,Tri-City Elementary School,243,3,0
2017-2018,Douglas,Umpqua Valley Christian School,148,13,0
2017-2018,Douglas,West Intermediate School,317,5,2
2017-2018,Douglas,Winchester Elementary School,340,13,0
2017-2018,Douglas,Winston Middle School,207,5,0
2017-2018,Douglas,Yoncalla Elementary/Middle School,100,8,0
2017-2018,Douglas,Yoncalla High School,133,9,0
2017-2018,Gilliam/Sherman/Wasco,Arlington School District,150,3,0
2017-2018,Gilliam/Sherman/Wasco,Chenowith Elementary School,455,7,1
2017-2018,Gilliam/Sherman/Wasco,Colonel Wright Elementary School,321,15,0
2017-2018,Gilliam/Sherman/Wasco,Columbia Lutheran School,16,2,0
2017-2018,Gilliam/Sherman/Wasco,Condon Grade School,95,8,0
2017-2018,Gilliam/Sherman/Wasco,Condon High School,34,0,0
2017-2018,Gilliam/Sherman/Wasco,D21 Virtual Wahtonka Academy,20,0,0
2017-2018,Gilliam/Sherman/Wasco,Dry Hollow Elementary School,498,13,0
2017-2018,Gilliam/Sherman/Wasco,Dufur School Dist #29,317,6,0
2017-2018,Gilliam/Sherman/Wasco,Maupin Gradeschool/Little Learners Preschool,134,2,0
2017-2018,Gilliam/Sherman/Wasco,Mid-Columbia Alternative Schoolbased Treatment,Site has fewer than 10 children in the adjusted enrollment.  No numbers are displayed.,,
2017-2018,Gilliam/Sherman/Wasco,Mosier Community School,210,27,0
2017-2018,Gilliam/Sherman/Wasco,Sherman County School,251,13,1
2017-2018,Gilliam/Sherman/Wasco,Sonrise Academy,44,2,0
2017-2018,Gilliam/Sherman/Wasco,South Wasco County Jr/High School,112,1,0
2017-2018,Gilliam/Sherman/Wasco,St. Mary's Academy,152,6,0
2017-2018,Gilliam/Sherman/Wasco,The Dalles High School,786,29,3
2017-2018,Gilliam/Sherman/Wasco,The Dalles Middle School,585,22,0
2017-2018,Gilliam/Sherman/Wasco,Wahtonka Community School,55,2,1
2017-2018,Grant,Dayville School District #16J,48,8,0
2017-2018,Grant,Grant Union Jr/Sr High School,262,17,0
2017-2018,Grant,Humbolt Elementary School,313,29,0
2017-2018,Grant,Long Creek School District #17,18,4,0
2017-2018,Grant,Monument School District #8,48,3,1
2017-2018,Grant,Prairie City School,144,8,0
2017-2018,Grant,Seneca School,30,3,1
2017-2018,Harney,Burns High School,250,6,0
2017-2018,Harney,Crane Elementary School,86,1,0
2017-2018,Harney,Crane Union High School,51,1,0
2017-2018,Harney,Diamond School,Site has fewer than 10 children in the adjusted enrollment.  No numbers are displayed.,,
2017-2018,Harney,"Double ""O"" Elementary",Site has fewer than 10 children in the adjusted enrollment.  No numbers are displayed.,,
2017-2018,Harney,Drewsey Elementary,Site has fewer than 10 children in the adjusted enrollment.  No numbers are displayed.,,
2017-2018,Harney,Fields Elementary,13,1,0
2017-2018,Harney,Frenchglen Elementary,Site has fewer than 10 children in the adjusted enrollment.  No numbers are displayed.,,
2017-2018,Harney,Henry L. Slater Elementary School,422,14,0
2017-2018,Harney,High Desert Christian School,17,0,0
2017-2018,Harney,Hines Middle School,203,5,0
2017-2018,Harney,Monroe School,16,0,0
2017-2018,Harney,Pine Creek Elementary  School,Site has fewer than 10 children in the adjusted enrollment.  No numbers are displayed.,,
2017-2018,Harney,Silvies River Charter School,245,85,0
2017-2018,Harney,Suntex Elementary  School,12,1,0
2017-2018,Hood River,Bright Beginnings,18,2,0
2017-2018,Hood River,Cascade Locks School,68,2,0
2017-2018,Hood River,Hood River Middle,557,27,0
2017-2018,Hood River,Hood River Valley High School,"1,351",43,0
2017-2018,Hood River,"Horizon Christian School, Inc",154,20,0
2017-2018,Hood River,"Klahre House/The Next Door, Inc.",11,0,0
2017-2018,Hood River,May Street Elementary,444,31,0
2017-2018,Hood River,Mid-Columbia Adventist School,62,7,0
2017-2018,Hood River,Mid-Valley Elementary,493,4,0
2017-2018,Hood River,New Vision School,40,9,0
2017-2018,Hood River,Parkdale Elementary,192,8,0
2017-2018,Hood River,Westside Elementary,505,32,1
2017-2018,Hood River,Wy'East Middle School,384,7,0
2017-2018,Jackson,ABRAHAM LINCOLN,553,16,4
2017-2018,Jackson,ARMADILLO TECHNICAL INSTITUTE,98,15,0
2017-2018,Jackson,ASHLAND HIGH SCHOOL,"1,001",245,1
2017-2018,Jackson,ASHLAND MIDDLE SCHOOL,571,144,0
2017-2018,Jackson,BELLVIEW ELEMENTARY,328,52,0
2017-2018,Jackson,BUTTE FALLS CHARTER ELEMENTARY,106,9,0
2017-2018,Jackson,Butte Falls Charter High School,121,5,0
2017-2018,Jackson,CASCADE CHRISTIAN JUNIOR AND SENIOR HIGH SCHOOL,399,26,0
2017-2018,Jackson,CENTRAL MEDFORD HIGH SCHOOL,221,6,2
2017-2018,Jackson,CENTRAL POINT ELEMENTARY,553,15,1
2017-2018,Jackson,CRATER ACADEMY OF HEALTH AND PUBLIC SEVICES,411,1,0
2017-2018,Jackson,CRATER LAKE CHARTER ACADEMY,262,36,0
2017-2018,Jackson,"CRATER SCHOOL OF BUSINESS, INNOVATION & SCIENCE",440,12,0
2017-2018,Jackson,CRATER'S RENAISSANCE ACADEMY,436,16,1
2017-2018,Jackson,Debbie Gaut Daycare,Site has fewer than 10 children in the adjusted enrollment.  No numbers are displayed.,,
2017-2018,Jackson,EAGLE POINT HIGH SCHOOL,"1,011",24,5
2017-2018,Jackson,EAGLE POINT MIDDLE SCHOOL,452,11,2
2017-2018,Jackson,EAGLE ROCK ELEMENTARY,339,21,2
2017-2018,Jackson,Exceptional Students Program,Site has fewer than 10 children in the adjusted enrollment.  No numbers are displayed.,,
2017-2018,Jackson,GRACE CHRISTIAN,266,34,1
2017-2018,Jackson,GRIFFIN CREEK ELEMENTARY,584,37,3
2017-2018,Jackson,Hanby Middle School,277,13,1
2017-2018,Jackson,HARVEST CHRISTIAN SCHOOL,57,5,0
2017-2018,Jackson,HEDRICK MIDDLE SCHOOL,943,52,3
2017-2018,Jackson,HELMAN ELEMENTARY,347,82,0
2017-2018,Jackson,HILLSIDE ELEMENTARY,517,25,4
2017-2018,Jackson,HOOVER ELEMENTARY,737,46,3
2017-2018,Jackson,HOWARD ELEMENTARY,435,19,0
2017-2018,Jackson,JACKSON ELEMENTARY,398,6,0
2017-2018,Jackson,JACKSONVILLE ELEMENTARY,442,51,0
2017-2018,Jackson,JEFFERSON ELEMENTARY,478,12,0
2017-2018,Jackson,jewett elementary school,614,29,0
2017-2018,Jackson,John Muir Elementary,124,61,0
2017-2018,Jackson,KENNEDY ELEMENTARY,539,18,2
2017-2018,Jackson,KIDS UNLIMITED ACADEMY PUBLIC CHARTER SCHOOL,387,6,1
2017-2018,Jackson,KIDZ KORNER DAYCARE,Site has fewer than 10 children in the adjusted enrollment.  No numbers are displayed.,,
2017-2018,Jackson,LAKE CREEK LEARNING CENTER,52,8,0
2017-2018,Jackson,LITTLE RED BARN MONTESSORI,Site has fewer than 10 children in the adjusted enrollment.  No numbers are displayed.,,
2017-2018,Jackson,Logos Public Charter School,935,225,0
2017-2018,Jackson,LONE PINE ELEMENTARY,620,45,4
2017-2018,Jackson,MADRONE TRAIL PUBLIC CHARTER SCHOOL,230,96,2
2017-2018,Jackson,MAE RICHARDSON ELEMENTARY,595,30,2
2017-2018,Jackson,MCLOUGHLIN MIDDLE,814,22,1
2017-2018,Jackson,Medford Montessori,124,10,0
2017-2018,Jackson,MEDFORD OPPORTUNITY HIGH SCHOOL,36,0,1
2017-2018,Jackson,NEW DIMENSION CHRISTIAN SCHOOL,36,3,0
2017-2018,Jackson,New Heights Christian School,40,5,0
2017-2018,Jackson,NORTH MEDFORD HIGH SCHOOL,"1,610",50,4
2017-2018,Jackson,OAK GROVE ELEMENTARY,523,9,0
2017-2018,Jackson,Orchard Hill Elementary,438,28,0
2017-2018,Jackson,PATRICK ELEMENTARY,276,22,0
2017-2018,Jackson,PHOENIX ELEMENTARY,372,10,0
2017-2018,Jackson,PHOENIX HIGH SCHOOL,648,11,0
2017-2018,Jackson,PINEHURST SCHOOL,12,3,0
2017-2018,Jackson,PROSPECT CHARTER SCHOOL,223,5,0
2017-2018,Jackson,RIVER'S EDGE ACADEMY CHARTER SCHOOL,161,52,1
2017-2018,Jackson,ROGUE RIVER ELEMENTARY,443,41,0
2017-2018,Jackson,ROGUE RIVER JUNIOR SENIOR HIGH,355,36,2
2017-2018,Jackson,ROGUE VALLEY ADVENTIST SCHOOL,125,12,0
2017-2018,Jackson,ROOSEVELT ELEMENTARY,424,22,0
2017-2018,Jackson,RUCH ELEMENTARY,180,44,1
2017-2018,Jackson,SACRED HEART CATHOLIC SCHOOL,186,9,2
2017-2018,Jackson,SAMS VALLEY ELEMENTARY,225,15,0
2017-2018,Jackson,SCENIC MIDDLE SCHOOL,817,19,1
2017-2018,Jackson,SHADY COVE SCHOOL,267,22,1
2017-2018,Jackson,SHADY POINT SDA SCHOOL,10,2,0
2017-2018,Jackson,SISKIYOU SCHOOL,189,135,0
2017-2018,Jackson,SO OR EDUCATIONAL SERVICE DISTRICT,38,1,0
2017-2018,Jackson,SOUTH MEDFORD HIGH SCHOOL,"1,642",61,6
2017-2018,Jackson,ST JOHN LUTHERAN SCHOOL,11,1,0
2017-2018,Jackson,ST MARY'S SCHOOL,489,29,1
2017-2018,Jackson,TABLEROCK ELEMENTARY,769,17,1
2017-2018,Jackson,TALENT ELEMENTARY,466,55,1
2017-2018,Jackson,TALENT MIDDLE SCHOOL,555,21,0
2017-2018,Jackson,Upper Rogue Center for Ed. Opp (URCEO),57,1,0
2017-2018,Jackson,Valley School of Southern Oregon,100,10,0
2017-2018,Jackson,WALKER ELEMENTARY,343,89,1
2017-2018,Jackson,WASHINGTON ELEMENTARY,400,10,0
2017-2018,Jackson,WETT ELEMENTARY,614,29,0
2017-2018,Jackson,WHITE MOUNTAIN MIDDLE SCHOOL,350,8,0
2017-2018,Jackson,Willow Wind community Learning Center,211,121,2
2017-2018,Jackson,WILSON ELEMENTARY,540,31,2
2017-2018,Jefferson,Ashwood Elementary,Site has fewer than 10 children in the adjusted enrollment.  No numbers are displayed.,,
2017-2018,Jefferson,Big Muddy School,19,4,0
2017-2018,Jefferson,Black Butte School,25,2,0
2017-2018,Jefferson,Bridges Career & Technical High School,114,4,0
2017-2018,Jefferson,Buff Elementary,322,5,0
2017-2018,Jefferson,Culver Elementary School,295,18,0
2017-2018,Jefferson,Culver High School,195,5,0
2017-2018,Jefferson,Culver Middle School,175,6,0
2017-2018,Jefferson,Jefferson County Middle School,458,9,0
2017-2018,Jefferson,Madras Christian School,Site has fewer than 10 children in the adjusted enrollment.  No numbers are displayed.,,
2017-2018,Jefferson,Madras Elementary,429,9,0
2017-2018,Jefferson,Madras High School,652,15,1
2017-2018,Jefferson,Metolius Elementary School,307,10,0
2017-2018,Jefferson,Warm Springs Academy,649,0,0
2017-2018,Josephine,Allen Dale Elementary School,490,33,0
2017-2018,Josephine,APPLEGATE ELEMENTARY,94,28,0
2017-2018,Josephine,Brighton Academy,127,46,0
2017-2018,Josephine,Busy Bee Child Care,Site has fewer than 10 children in the adjusted enrollment.  No numbers are displayed.,,
2017-2018,Josephine,Community Christian Academy,26,2,0
2017-2018,Josephine,Dome School,46,36,0
2017-2018,Josephine,Evergreen Elementary,395,74,0
2017-2018,Josephine,FLEMING MIDDLE SCHOOL,402,32,2
2017-2018,Josephine,Fort Vannoy,251,19,1
2017-2018,Josephine,FRUITDALE ELEMENTARY,361,29,0
2017-2018,Josephine,Grants Pass Adventist School,56,16,0
2017-2018,Josephine,Grants Pass High School,"1,788",108,5
2017-2018,Josephine,Hidden Valley High,513,51,0
2017-2018,Josephine,Highland Elementary School,472,35,0
2017-2018,Josephine,Illinois Valley High,326,36,0
2017-2018,Josephine,Lincoln Elementary,459,37,0
2017-2018,Josephine,Lincoln Savage Middle,385,29,0
2017-2018,Josephine,Lorna Byrne Middle,299,50,0
2017-2018,Josephine,Madrona Elementary,374,37,0
2017-2018,Josephine,Madrone Adventist Elementary School,23,4,0
2017-2018,Josephine,Manzanita Elementary,399,30,0
2017-2018,Josephine,"Miss Heather's Preschool, Daycare & After School C",Site has fewer than 10 children in the adjusted enrollment.  No numbers are displayed.,,
2017-2018,Josephine,New Hope Christian School,212,49,0
2017-2018,Josephine,Newbridge High School,82,0,0
2017-2018,Josephine,NORTH MIDDLE SCHOOL,792,43,0
2017-2018,Josephine,North Valley High,466,31,0
2017-2018,Josephine,Parkside Elementary,465,29,0
2017-2018,Josephine,Redwood Elementary,487,48,0
2017-2018,Josephine,Riverside Elementary,448,29,1
2017-2018,Josephine,South Middle School,681,40,0
2017-2018,Josephine,ST. ANNES CATHOLIC SCHOOL,41,4,0
2017-2018,Josephine,Sunny Wolf Charter School,102,21,0
2017-2018,Josephine,Vineyard Christian School,57,10,0
2017-2018,Josephine,WILLIAMS ELEMENTARY,57,14,0
2017-2018,Josephine,Woodland Charter School,161,100,0
2017-2018,Klamath,Bonanza Elementary School,243,23,0
2017-2018,Klamath,Bonanza Jr/Sr High School,208,15,0
2017-2018,Klamath,Brixner Junior High School,397,8,0
2017-2018,Klamath,Chiloquin Elementary School,166,7,0
2017-2018,Klamath,Chiloquin Junior Senior High School,139,6,0
2017-2018,Klamath,Conger Elementary School,410,18,2
2017-2018,Klamath,Eagle Ridge High School,191,7,1
2017-2018,Klamath,Falcon Heights Academy,90,4,1
2017-2018,Klamath,Ferguson Elementary School,486,4,0
2017-2018,Klamath,Gearhart Elementary School,12,3,0
2017-2018,Klamath,Gilchrist Elementary School,119,0,0
2017-2018,Klamath,Gilchrist Junior Senior High School,81,2,0
2017-2018,Klamath,Great Basin Home School Center,153,33,0
2017-2018,Klamath,Henley Elementary School,560,14,0
2017-2018,Klamath,Henley High School,639,10,0
2017-2018,Klamath,Henley Middle School,358,14,0
2017-2018,Klamath,Henley Transition House,31,0,0
2017-2018,Klamath,Hosanna Christian School,237,12,0
2017-2018,Klamath,Keno Elementary School,183,8,0
2017-2018,Klamath,Klamath Adult Learning Center,85,1,0
2017-2018,Klamath,Klamath Basin Behavioral Health,28,0,0
2017-2018,Klamath,KLamath Falls Adventist Christian School,Site has fewer than 10 children in the adjusted enrollment.  No numbers are displayed.,,
2017-2018,Klamath,Klamath Union/Almeda House,617,15,0
2017-2018,Klamath,Lost River Junior Senior High School,212,1,0
2017-2018,Klamath,Malin Elementary School,135,3,0
2017-2018,Klamath,Mazama High School,676,4,0
2017-2018,Klamath,Merrill Elementary School,151,0,0
2017-2018,Klamath,Mills Elementary School,387,0,1
2017-2018,Klamath,Our Place to Grow,Site has fewer than 10 children in the adjusted enrollment.  No numbers are displayed.,,
2017-2018,Klamath,Pelican Elementary School,266,6,1
2017-2018,Klamath,Peterson Elementary School,598,12,0
2017-2018,Klamath,PONDEROSA MIDDLE SCHOOL,629,14,0
2017-2018,Klamath,Roosevelt Elementary School,389,14,1
2017-2018,Klamath,Sage Charter School,69,12,0
2017-2018,Klamath,Shasta Elementary School,537,20,0
2017-2018,Klamath,Shasta Way Christian Preschool,Site has fewer than 10 children in the adjusted enrollment.  No numbers are displayed.,,
2017-2018,Klamath,Stearns Elementary School,334,7,0
2017-2018,Klamath,Triad School,197,9,0
2017-2018,Lake,A D Hay School and Fremont School,351,7,0
2017-2018,Lake,Adel School,Site has fewer than 10 children in the adjusted enrollment.  No numbers are displayed.,,
2017-2018,Lake,Daly Middle School,108,3,0
2017-2018,Lake,Lakeview High School,253,5,2
2017-2018,Lake,North Lake School,207,12,0
2017-2018,Lake,PAISLEY DISTANCE LEARNING ON LINE SCHOOL,140,58,0
2017-2018,Lake,Paisley School District-Brick,77,7,0
2017-2018,Lake,Plush Elementary,Site has fewer than 10 children in the adjusted enrollment.  No numbers are displayed.,,
2017-2018,Lake,Solid Rock Christian School,43,0,0
2017-2018,Lake,Union Elementary,55,3,0
2017-2018,Lane,Academy of Arts & Academics,317,51,1
2017-2018,Lane,ACE Charter School,104,23,0
2017-2018,Lane,Adams Elementary School,468,55,0
2017-2018,Lane,Agnes Stewart Middle School,559,8,0
2017-2018,Lane,Al Kennedy Alternative High School,74,5,0
2017-2018,Lane,Applegate Elementary,116,4,0
2017-2018,Lane,Arts and Technology Academy,398,36,0
2017-2018,Lane,Awbrey Park Elementary School,403,11,0
2017-2018,Lane,Big Little School,Site has fewer than 10 children in the adjusted enrollment.  No numbers are displayed.,,
2017-2018,Lane,Bohemia Elementary School,487,23,0
2017-2018,Lane,Bridge Charter Academy,205,101,0
2017-2018,Lane,Bridgeway School,77,17,1
2017-2018,Lane,Briggs Middle School,469,13,0
2017-2018,Lane,Buena Vista Elementary School,445,16,0
2017-2018,Lane,Cal Young Middle School,524,15,2
2017-2018,Lane,Camas Ridge Community Elementary,376,52,0
2017-2018,Lane,Cascade Middle School,321,3,0
2017-2018,Lane,Centennial Elementary School,392,9,1
2017-2018,Lane,Charlemagne French Immersion Elementary School,335,29,0
2017-2018,Lane,Chavez Elementary,418,36,0
2017-2018,Lane,"Child Center, The",20,0,0
2017-2018,Lane,Children's Choice Montessori-W 10th,Site has fewer than 10 children in the adjusted enrollment.  No numbers are displayed.,,
2017-2018,Lane,Child's Way Charter,51,5,0
2017-2018,Lane,Chinese Immersion School,41,8,0
2017-2018,Lane,Churchill High School,"1,039",68,0
2017-2018,Lane,Clear Lake Elementary,256,4,0
2017-2018,Lane,Coburg Community Charter School,212,7,0
2017-2018,Lane,Community Transitions Program,33,0,0
2017-2018,Lane,Comprehensive Services Program,15,0,0
2017-2018,Lane,Corridor Elementary School,211,19,0
2017-2018,Lane,Cottage Grove High School,719,35,0
2017-2018,Lane,Countryside Christian School,10,1,0
2017-2018,Lane,Creslane Elementary School,582,23,1
2017-2018,Lane,Creswell Christian School,43,8,0
2017-2018,Lane,Creswell High School,336,7,0
2017-2018,Lane,Creswell Middle School,289,2,0
2017-2018,Lane,Crow Middle/High School,109,8,0
2017-2018,Lane,Danebo Elementary,299,4,1
2017-2018,Lane,Dorena Elementary School,78,2,0
2017-2018,Lane,Douglas Garden Elementary,371,10,0
2017-2018,Lane,Edgewood Community School,395,39,1
2017-2018,Lane,Edison Elementary School,348,35,0
2017-2018,Lane,Elizabeth Page Elementary,387,8,0
2017-2018,Lane,Elmira Elementary School,267,14,0
2017-2018,Lane,Elmira High School,372,13,0
2017-2018,Lane,Emerald Christian Academy,57,6,0
2017-2018,Lane,Eugene Christian School,201,7,0
2017-2018,Lane,Eugene Education Options,144,10,0
2017-2018,Lane,Eugene Montessori School,10,0,0
2017-2018,Lane,Eugene Waldorf School,163,98,0
2017-2018,Lane,Fairfield Elementary,330,7,1
2017-2018,Lane,Family School,131,49,0
2017-2018,Lane,Far Horizons Montessori,27,9,0
2017-2018,Lane,Fern Ridge Middle School,337,15,2
2017-2018,Lane,Foundations Montessori Preschool,Site has fewer than 10 children in the adjusted enrollment.  No numbers are displayed.,,
2017-2018,Lane,GATES Program,Site has fewer than 10 children in the adjusted enrollment.  No numbers are displayed.,,
2017-2018,Lane,Gateways High School,56,0,0
2017-2018,Lane,Gilham Elementary School,538,26,1
2017-2018,Lane,Grace Community Preschool,Site has fewer than 10 children in the adjusted enrollment.  No numbers are displayed.,,
2017-2018,Lane,Guy Lee Elementary,383,8,0
2017-2018,Lane,Hamlin Middle School,637,14,2
2017-2018,Lane,Harrison Elementary School,429,38,0
2017-2018,Lane,Holt Elementary School,552,20,0
2017-2018,Lane,Homebound Program,Site has fewer than 10 children in the adjusted enrollment.  No numbers are displayed.,,
2017-2018,Lane,Howard Elementary School,480,14,0
2017-2018,Lane,Intensive Tutoring Program,Site has fewer than 10 children in the adjusted enrollment.  No numbers are displayed.,,
2017-2018,Lane,Irving Elementary,365,3,0
2017-2018,Lane,Jasper Mountain School,45,0,0
2017-2018,Lane,Jasper Mountain School- Safe Center,24,0,0
2017-2018,Lane,Junction City High School,541,15,0
2017-2018,Lane,Kalapuya High School,78,1,0
2017-2018,Lane,Kelly Middle School,369,17,0
2017-2018,Lane,Kennedy Middle School,341,9,0
2017-2018,Lane,Lane School,41,1,0
2017-2018,Lane,Latham Elementary School,92,5,0
2017-2018,Lane,Laurel Elementary School,473,10,0
2017-2018,Lane,Laurelwood Academy,Site has fewer than 10 children in the adjusted enrollment.  No numbers are displayed.,,
2017-2018,Lane,Lincoln Middle School,564,32,1
2017-2018,Lane,Logos Christian Academy,21,4,0
2017-2018,Lane,London Elementary School,96,4,0
2017-2018,Lane,Looking Glass Center Point School,14,0,0
2017-2018,Lane,Looking Glass New Roads School,29,2,0
2017-2018,Lane,Looking Glass Riverfront School,55,0,0
2017-2018,Lane,Looking Glass Stepping Stone Program,13,1,0
2017-2018,Lane,Lowell Junior/Senior High School,171,12,0
2017-2018,Lane,Lundy  Elementary School,170,16,0
2017-2018,Lane,Madison Middle School,415,12,0
2017-2018,Lane,Malabon Elementary,421,7,0
2017-2018,Lane,Maple Elementary,331,9,0
2017-2018,Lane,MAPLETON ELEMENTARY SCHOOL,72,10,0
2017-2018,Lane,Mapleton High School,70,1,0
2017-2018,Lane,Marcola School District,294,14,0
2017-2018,Lane,Marist Catholic High School,499,18,0
2017-2018,Lane,Martin Luther King Education Center,22,0,0
2017-2018,Lane,McCornack Elementary School,333,17,0
2017-2018,Lane,McKenzie School District #68,201,29,0
2017-2018,Lane,Meadow View School,771,21,2
2017-2018,Lane,Monroe Middle School,526,19,0
2017-2018,Lane,Mountain View Academy,140,13,0
2017-2018,Lane,Mt Vernon Elementary,504,10,0
2017-2018,Lane,Nature Discovery School,81,14,0
2017-2018,Lane,Network Charter School,117,14,0
2017-2018,Lane,North Eugene High School,862,24,0
2017-2018,Lane,Oak Hill School,215,14,0
2017-2018,Lane,Oak Park Christian School,Site has fewer than 10 children in the adjusted enrollment.  No numbers are displayed.,,
2017-2018,Lane,Oaklea Middle School,505,16,0
2017-2018,Lane,Oakridge  High School,146,7,0
2017-2018,Lane,Oakridge Elementary School,313,28,0
2017-2018,Lane,Oakridge Junior High,85,4,0
2017-2018,Lane,Ocean Dunes High School,Site has fewer than 10 children in the adjusted enrollment.  No numbers are displayed.,,
2017-2018,Lane,O'Hara Catholic School,443,13,0
2017-2018,Lane,Part-Time - Alt Ed/Special Prog,82,5,1
2017-2018,Lane,Pleasant Hill Elementary School,421,20,0
2017-2018,Lane,Pleasant Hill High School,567,19,0
2017-2018,Lane,Prairie Mountain School,693,7,0
2017-2018,Lane,Ridgeline Montessori,249,69,0
2017-2018,Lane,Ridgeview Elementary,428,10,0
2017-2018,Lane,River Road/El Camino del Rio Elementary School,341,25,1
2017-2018,Lane,Riverbend Elementary,497,8,0
2017-2018,Lane,Roosevelt Middle School,565,57,0
2017-2018,Lane,Saraha Children's School,19,3,0
2017-2018,Lane,Shasta Middle School,406,7,1
2017-2018,Lane,Sheldon High School,"1,414",28,0
2017-2018,Lane,Siuslaw Elementary School,615,29,0
2017-2018,Lane,Siuslaw High School,418,14,0
2017-2018,Lane,Siuslaw Middle School,333,21,0
2017-2018,Lane,South Eugene High School,"1,403",165,3
2017-2018,Lane,Spencer Butte Middle School,427,48,1
2017-2018,Lane,Spring Creek Elementary School,291,17,1
2017-2018,Lane,Springfield Christian Kindergarten and Preschool,13,1,0
2017-2018,Lane,Springfield High School,"1,220",18,0
2017-2018,Lane,SPS Night School,66,0,0
2017-2018,Lane,SPS On-Line Elementary,Site has fewer than 10 children in the adjusted enrollment.  No numbers are displayed.,,
2017-2018,Lane,SPS On-Line High,31,0,0
2017-2018,Lane,SPS On-Line Middle,Site has fewer than 10 children in the adjusted enrollment.  No numbers are displayed.,,
2017-2018,Lane,St Paul Parish School,249,5,0
2017-2018,Lane,St Thomas Becket Academy,39,23,0
2017-2018,Lane,Territorial Elementary,147,4,0
2017-2018,Lane,Thurston Elementary,470,15,0
2017-2018,Lane,Thurston High School,"1,225",16,0
2017-2018,Lane,Thurston Middle School,552,22,0
2017-2018,Lane,Triangle Lake Charter Elementary School,103,19,0
2017-2018,Lane,Triangle Lake Charter Middle School,62,11,0
2017-2018,Lane,Triangle Lane Charter HS,47,7,0
2017-2018,Lane,Twin Oaks Elementary School,227,5,0
2017-2018,Lane,Twin Rivers Charter School,28,0,0
2017-2018,Lane,Two Rivers Dos Rios Elementary,482,10,1
